省,市,区,告警等级,告警名称,告警发生时间,告警清除时间,告警清除原因,告警历时,告警详情,告警设备名称,告警设备编码,设备类型,设备厂家
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-22 04:29:31,2020-03-22 04:34:36,自动清除,5.1,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-04 04:20:45,2020-03-04 04:30:24,自动清除,9.7,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-04 11:35:12,2020-03-04 11:45:16,自动清除,10.1,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-10 05:04:52,2020-03-10 05:09:52,自动清除,5.0,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-10 21:14:43,2020-03-10 23:30:13,手动清除：手动清除,135.5,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-12 04:44:51,2020-03-12 04:49:45,自动清除,4.9,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-20 21:09:20,2020-03-20 23:41:50,手动清除：手动清除,152.5,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-13 04:34:47,2020-03-13 04:39:50,自动清除,5.0,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-16 05:04:36,2020-03-16 05:09:33,自动清除,5.0,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
四川省,成都市,锦江区,1,换电柜离线告警,2020-03-20 04:54:25,2020-03-20 04:59:31,自动清除,5.1,设备离线,国槐街831号换电柜,CHZD12KPD0191128004,换电柜,深圳康普盾
