地址名称,业务类型,客户名称,省,市,区,站址状态,工单处理人
成都市金牛区九里堤中路217号换电站,2,,四川省,成都市,金牛区,2,kaitenuoxin
金牛西五墩中街109灯杆,2,,四川省,成都市,金牛区,1,
金牛营康西路,2,,四川省,成都市,金牛区,1,
二环路北三段灯杆,2,,四川省,成都市,金牛区,1,
金牛国际商贸城,2,,四川省,成都市,金牛区,1,
金牛区同济街路口,2,,四川省,成都市,金牛区,1,
金牛银沙西街街口,2,,四川省,成都市,金牛区,1,
金牛西体北路,2,,四川省,成都市,金牛区,1,
金牛区成都大学师范学院,2,,四川省,成都市,金牛区,1,
金牛沙湾东一路,2,,四川省,成都市,金牛区,1,
金牛西五墩中街109灯杆,2,,四川省,成都市,金牛区,1,
金科路与迎宾大道交叉口,2,,四川省,成都市,金牛区,1,
金牛华力车队,2,,四川省,成都市,金牛区,1,
交桂巷,2,,四川省,成都市,金牛区,1,
站北中街,2,,四川省,成都市,金牛区,1,
武警黄金第三总队,2,,四川省,成都市,金牛区,1,
金牛福源路与九里堤中路交叉口,2,,四川省,成都市,金牛区,1,
金牛八一路,2,,四川省,成都市,金牛区,1,
金牛长青北街,2,,四川省,成都市,金牛区,1,
金牛区田家巷20号附7号,2,,四川省,成都市,金牛区,1,
金牛育仁东路灯杆,2,,四川省,成都市,金牛区,1,
红旗连锁金牛区金琴路分场,2,,四川省,成都市,金牛区,1,
金牛七中门口电信,2,,四川省,成都市,金牛区,1,
金牛沙河源停车场旁,2,,四川省,成都市,金牛区,1,
金牛成彭立交外侧,2,,四川省,成都市,金牛区,1,
金牛锦西国际,2,,四川省,成都市,金牛区,1,
兴元绿洲,2,,四川省,成都市,金牛区,1,
星汉北路,2,,四川省,成都市,金牛区,1,
金牛区同友路46号,2,,四川省,成都市,金牛区,1,
金牛圃元南一路灯杆,2,,四川省,成都市,金牛区,1,
成华青龙场仁义村3号,2,,四川省,成都市,成华区,1,
成华区双桥路152栋,2,,四川省,成都市,成华区,1,
成华府青路加油站,2,,四川省,成都市,成华区,1,
成华丽水澜庭B区1,2,,四川省,成都市,成华区,1,
建设北路三段18号换点柜,2,,四川省,成都市,成华区,1,
高新区荣华南路,2,,四川省,成都市,成华区,1,
成华北湖印象2,2,,四川省,成都市,成华区,1,
成华九寨沟大渡河路,2,,四川省,成都市,成华区,1,
成华东方惠城快装,2,,四川省,成都市,成华区,1,
成华区崔家店418号,2,,四川省,成都市,成华区,1,
成华东客站西广场附近道路-4,2,,四川省,成都市,成华区,1,
成都成华东三环四段G,2,,四川省,成都市,成华区,1,
成都成华跳蹬河南路西路灯杆,2,,四川省,成都市,成华区,1,
成华成宏路灯杆,2,,四川省,成都市,成华区,1,
成华双耀二路12号路灯杆,2,,四川省,成都市,成华区,1,
成华马鞍路,2,,四川省,成都市,成华区,1,
成华中国铁建北湖国际城,2,,四川省,成都市,成华区,1,
成华站北东横街42号,2,,四川省,成都市,成华区,1,
青龙大道与东泰路交汇处,2,,四川省,成都市,成华区,1,
成都成华区三环晨明汽车无线机房,2,,四川省,成都市,成华区,1,
东华7组,2,,四川省,成都市,成华区,1,
成华八里桥路,2,,四川省,成都市,成华区,1,
CD800M4130-成华华星大众,2,,四川省,成都市,成华区,1,
东客站东广场交汇处,2,,四川省,成都市,成华区,1,
成华区双林路151号,2,,四川省,成都市,成华区,1,
成华区万年路211号,2,,四川省,成都市,成华区,1,
成华区双林路23号附5号,2,,四川省,成都市,成华区,1,
红旗连锁成华区华冠路二便利店,2,,四川省,成都市,成华区,1,
水之影广场,1,,四川省,成都市,都江堰市,2,
都江堰彩虹大道南段红绿灯备电网点,1,,四川省,成都市,都江堰市,2,
高新南关东一街,2,,四川省,成都市,双流区,1,
高新濯锦东路,2,,四川省,成都市,双流区,1,
红旗连锁高新区神仙树分场,2,,四川省,成都市,双流区,1,
高新三利宅院2,2,,四川省,成都市,双流区,1,
高新南吉泰四路灯杆,2,,四川省,成都市,双流区,1,
红旗连锁高新区融城理想分场,2,,四川省,成都市,双流区,1,
高新区润和原筑门店,2,,四川省,成都市,双流区,1,
高新区府滨北路34号,2,,四川省,成都市,双流区,1,
红旗连锁高新区锦城大道3便利店,2,,四川省,成都市,双流区,1,
新城国际,1,,四川省,成都市,武侯区,6,
武侯区新园大道420号,2,,四川省,成都市,武侯区,1,
达州银行,0,,四川省,达州市,通川区,2,TFxiongang
岭南路口交通备电,1,,四川省,绵阳市,涪城区,2,
二桥路口交通备电,1,,四川省,绵阳市,涪城区,2,
移动路口交通备电,1,,四川省,绵阳市,涪城区,2,
三汇路口交通备电,1,,四川省,绵阳市,涪城区,2,
火车客站交通备电,1,,四川省,绵阳市,涪城区,2,
游仙云凤镇卫生院备电柜,1,,四川省,绵阳市,涪城区,6,
芙蓉路口交通备电,1,,四川省,绵阳市,游仙区,2,
科学城邮储银行备电,1,,四川省,绵阳市,游仙区,2,
东津路口交通备电,1,,四川省,绵阳市,游仙区,2,
平武响岩邮政储蓄银行,1,,四川省,绵阳市,平武县,2,
平武平通邮政储蓄银行网点,1,,四川省,绵阳市,平武县,2,
平武南坝邮政储蓄银行,1,,四川省,绵阳市,平武县,2,
南充市顺庆区邮区中心局,3,中国邮政,四川省,南充市,顺庆区,2,
南充市高坪区邮政局,3,中国邮政,四川省,南充市,高坪区,2,
南充市嘉陵区邮政局,3,中国邮政,四川省,南充市,嘉陵区,2,
八角邮政换电站,2,中国邮政,四川省,德阳市,旌阳区,1,
阳光盛源,0,,四川省,德阳市,旌阳区,6,
什邡市邮政换电站,2,中国邮政,四川省,德阳市,什邡市,1,
