地址名称,业务类型,站址CODE,客户名称,省,市,区,站址状态,在线状态,工单处理人
成都市金牛区九里堤中路217号换电站,换电,51010690000001,,四川省,成都市,金牛区,交维,从未连线,kaitenuoxin
金牛西五墩中街109灯杆,换电,51010690000024,,四川省,成都市,金牛区,工程,从未连线,
金牛营康西路,换电,51010690000007,,四川省,成都市,金牛区,工程,从未连线,
二环路北三段灯杆,换电,51010690000022,,四川省,成都市,金牛区,工程,从未连线,
金牛国际商贸城,换电,51010690000027,,四川省,成都市,金牛区,工程,从未连线,
金牛区同济街路口,换电,51010690000006,,四川省,成都市,金牛区,工程,从未连线,
金牛银沙西街街口,换电,51010690000009,,四川省,成都市,金牛区,工程,从未连线,
金牛西体北路,换电,51010690000012,,四川省,成都市,金牛区,工程,从未连线,
金牛区成都大学师范学院,换电,51010690000014,,四川省,成都市,金牛区,工程,从未连线,
金牛沙湾东一路,换电,51010690000020,,四川省,成都市,金牛区,工程,从未连线,
金牛西五墩中街109灯杆,换电,51010690000025,,四川省,成都市,金牛区,工程,从未连线,
金科路与迎宾大道交叉口,换电,51010690000026,,四川省,成都市,金牛区,工程,从未连线,
金牛华力车队,换电,51010690000002,,四川省,成都市,金牛区,工程,从未连线,
交桂巷,换电,51010690000008,,四川省,成都市,金牛区,工程,从未连线,
站北中街,换电,51010690000011,,四川省,成都市,金牛区,工程,从未连线,
武警黄金第三总队,换电,51010690000013,,四川省,成都市,金牛区,工程,从未连线,
金牛福源路与九里堤中路交叉口,换电,51010690000015,,四川省,成都市,金牛区,工程,从未连线,
金牛八一路,换电,51010690000018,,四川省,成都市,金牛区,工程,从未连线,
金牛长青北街,换电,51010690000019,,四川省,成都市,金牛区,工程,从未连线,
金牛区田家巷20号附7号,换电,51010690000021,,四川省,成都市,金牛区,工程,从未连线,
金牛育仁东路灯杆,换电,51010690000028,,四川省,成都市,金牛区,工程,从未连线,
红旗连锁金牛区金琴路分场,换电,51010690000030,,四川省,成都市,金牛区,工程,从未连线,
金牛七中门口电信,换电,51010690000004,,四川省,成都市,金牛区,工程,从未连线,
金牛沙河源停车场旁,换电,51010690000003,,四川省,成都市,金牛区,工程,从未连线,
